X,Y,fid,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.967494,40.6178310000001,2342,152048,3200 W @ 7348 S,West Jordan,Salt Lake,152048,152048,40.617831,-111.967494,,,F232,Flex Bus,84084,,
-111.967513,40.615645,2343,152049,3200 W @ 7488 S,West Jordan,Salt Lake,152049,152049,40.615645,-111.967513,,,F232,Flex Bus,84084,,
-111.967522,40.6133530000001,2344,152050,3200 W @ 7640 S,West Jordan,Salt Lake,152050,152050,40.613353,-111.967522,,,F232,Flex Bus,84084,,
-111.967541,40.610738,2345,152051,3200 W @ 7740 S,West Jordan,Salt Lake,152051,152051,40.610738,-111.967541,,,F232,Flex Bus,84084,,
-111.98325,40.6142400000001,2346,152052,Jordan Landing Blvd. @ 7586 S,West Jordan,Salt Lake,152052,152052,40.61424,-111.98325,12,5,240,Bus,84084,11.89,4.95
-111.967347,40.615686,2347,152053,3200 W @ 7487 S,West Jordan,Salt Lake,152053,152053,40.615686,-111.967347,,,F232,Flex Bus,84084,,
-111.967321,40.617777,2348,152054,3200 W @ 7347 S,West Jordan,Salt Lake,152054,152054,40.617777,-111.967321,,,F232,Flex Bus,84084,,
-111.967313,40.6193720000001,2349,152055,3200 W @ 7253 S,West Jordan,Salt Lake,152055,152055,40.619372,-111.967313,,,F232,Flex Bus,84084,,
-111.967278,40.626271,2350,152056,3200 W @ 6871 S,West Jordan,Salt Lake,152056,152056,40.626271,-111.967278,,,F232,Flex Bus,84084,,
-111.967266,40.6288010000001,2351,152057,3200 W @ 6735 S,West Jordan,Salt Lake,152057,152057,40.628801,-111.967266,,,F232,Flex Bus,84084,,
-111.967268,40.633343,2352,152058,3200 W @ 6505 S,Taylorsville,Salt Lake,152058,152058,40.633343,-111.967268,,,F232,Flex Bus,84129,,
-111.967267,40.6352610000001,2353,152059,3200 W @ 6385 S,Taylorsville,Salt Lake,152059,152059,40.635261,-111.967267,,,F232,Flex Bus,84129,,
-111.967282,40.6390170000001,2354,152060,3200 W @ 6199 S,Taylorsville,Salt Lake,152060,152060,40.639017,-111.967282,,,F232,Flex Bus,84129,,
-111.967292,40.642791,2355,152061,3200 W @ 5987 S,Taylorsville,Salt Lake,152061,152061,40.642791,-111.967292,,,F232,Flex Bus,84129,,
-111.967306,40.6493330000001,2356,152063,3200 W @ 5601 S,Taylorsville,Salt Lake,152063,152063,40.649361,-111.967321,,,F232,Flex Bus,84129,,
-111.967327,40.650695,2357,152064,3200 W @ 5517 S,Taylorsville,Salt Lake,152064,152064,40.650695,-111.967327,,,Inactive,Bus,84129,,
-111.967359,40.6559520000001,2358,152066,3200 W @ 5265 S,Taylorsville,Salt Lake,152066,152066,40.655952,-111.967359,,,F232,Flex Bus,84129,,
-111.967333,40.6596670000001,2360,152068,3200 W @ 5085 S,Taylorsville,Salt Lake,152068,152068,40.659545,-111.967367,,,F232,Flex Bus,84129,,
-111.967352,40.661229,2361,152069,3200 W @ 4961 S,Taylorsville,Salt Lake,152069,152069,40.661229,-111.967352,,,F232,Flex Bus,84129,,
-111.967528,40.6617390000001,2362,152071,3200 W @ 4958 S,Taylorsville,Salt Lake,152071,152071,40.661739,-111.967528,,,F232,Flex Bus,84129,,
-111.967516,40.6601230000001,2363,152072,3200 W @ 5068 S,Taylorsville,Salt Lake,152072,152072,40.660123,-111.967516,,,F232,Flex Bus,84129,,
-111.967518,40.6568490000001,2364,152073,3200 W @ 5248 S,Taylorsville,Salt Lake,152073,152073,40.656849,-111.967518,,,F232,Flex Bus,84129,,
-111.948926,40.6532080000001,2366,152077,5400 S / 2200 W (WB),Taylorsville,Salt Lake,152077,152077,40.653208,-111.948926,7,7,54,Bus,84129,7.1,7.37
-111.957437,40.653243,2367,152080,5400 S / 2700 W (WB),Taylorsville,Salt Lake,152080,152080,40.653243,-111.957437,4,12,54,Bus,84129,4.43,12.06
-111.961379,40.6532080000001,2368,152081,5400 S / Bastile Dr (WB),Taylorsville,Salt Lake,152081,152081,40.653208,-111.961379,0,1,54,Bus,84129,0.46,1.08
-111.964327,40.6532020000001,2369,152082,5400 S / Appian Way (WB),Taylorsville,Salt Lake,152082,152082,40.653202,-111.964327,0,2,54,Bus,84129,0.36,2.22
-111.967808,40.653197,2370,152083,5400 S / 3200 W (WB),Taylorsville,Salt Lake,152083,152083,40.653197,-111.967808,7,32,54,Bus,84129,7.2,32
-111.972634,40.653192,2371,152084,5400 S / Ridgecrest Dr (WB),Taylorsville,Salt Lake,152084,152084,40.653192,-111.972634,2,5,54,Bus,84129,1.75,4.64
-111.977332,40.653199,2372,152085,5400 S / 3600 W (WB),Taylorsville,Salt Lake,152085,152085,40.653199,-111.977332,4,18,54,Bus,84129,4.07,17.98
-111.987621,40.6529800000001,2373,152087,5400 S / 4015 W (WB),Kearns,Salt Lake,152087,152087,40.65298,-111.987621,20,45,54,Bus,84118,20.38,44.62
-111.986818,40.6539910000001,2374,152088,4015 W @ 5345 S,Taylorsville,Salt Lake,152088,152088,40.653991,-111.986818,35,13,240,Bus,84129,35.35,12.83
-111.986799,40.660514,2375,152089,4015 W @ 4993 S,Taylorsville,Salt Lake,152089,152089,40.660514,-111.986799,5,1,240,Bus,84118,5.35,1.24
-111.987043,40.6578000000001,2376,152090,4015 W @ 5138 S,Kearns,Salt Lake,152090,152090,40.6578,-111.987043,2,4,240,Bus,84118,1.75,3.81
-111.986795,40.6582110000001,2377,152095,4015 W @ 5107 S,Taylorsville,Salt Lake,152095,152095,40.658211,-111.986795,3,2,240,Bus,84118,2.73,1.85
-111.987025,40.651931,2378,152101,4015 W @ 5470 S,Kearns,Salt Lake,152101,152101,40.651931,-111.987025,15,29,240,Bus,84129,15.33,29.01
-111.957715,40.624648,2379,152103,2700 W @ 6971 S,West Jordan,Salt Lake,152103,152103,40.624648,-111.957715,1,1,227,Bus,84084,1.08,0.88
-111.987048,40.6459600000001,2380,152104,4015 W @ 5790 S,Kearns,Salt Lake,152104,152104,40.64596,-111.987048,2,8,240,Bus,84129,2.16,7.83
-111.986603,40.6445190000001,2381,152105,4000 W @ 5860 S,Kearns,Salt Lake,152105,152105,40.644519,-111.986603,1,11,240,Bus,84129,1.39,10.77
-111.986583,40.6416160000001,2382,152106,4000 W @ 6028 S,Kearns,Salt Lake,152106,152106,40.641616,-111.986583,4,14,240,Bus,84129,4.27,13.96
-111.986895,40.6386650000001,2383,152107,6200 S @ 4018 W,Kearns,Salt Lake,152107,152107,40.638665,-111.986895,1,7,62,Bus,84118,1.08,6.7
-111.978293,40.6373620000001,2384,152109,Dixie Dr @ 6260 S,West Jordan,Salt Lake,152109,152109,40.637362,-111.978293,7,5,240,Bus,84084,6.79,4.69
-111.978334,40.6359,2385,152110,Dixie Dr @ 6348 S,West Jordan,Salt Lake,152110,152110,40.6359,-111.978334,1,3,240,Bus,84084,1.24,2.83
